[DEBUG] 2020-02-17 12:30:43.418 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-17 12:30:43.420 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-17 12:30:43.425 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-17 12:30:43.498 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-17 12:30:43.501 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-17 12:30:43.712 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-17 12:30:43.971 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-17 12:30:43.993 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-17 12:30:43.994 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-17 12:30:44.012 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-17 12:30:44.041 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1846579f
[DEBUG] 2020-02-17 12:30:44.041 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1846579f
[DEBUG] 2020-02-17 12:30:44.041 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1846579f
[DEBUG] 2020-02-17 12:30:44.042 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5fac521d
[DEBUG] 2020-02-17 12:30:44.042 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3abfe845
[DEBUG] 2020-02-17 12:30:44.043 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@7f08caf
[DEBUG] 2020-02-17 12:30:44.043 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@40e60ece
[DEBUG] 2020-02-17 12:30:44.044 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@40e60ece
[DEBUG] 2020-02-17 12:30:44.046 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@40e60ece
